"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","isoforest_score"
"Cell1028","SeuratProject",38,38,0,-0.120792137682289
"Cell1029","SeuratProject",46,41,0,-0.0269271132144001
"Cell1030","SeuratProject",36,34,0,-0.083049093154336
"Cell1031","SeuratProject",49,48,0,-0.0473076105761039
"Cell1032","SeuratProject",49,45,0,-0.027664356909304
"Cell1033","SeuratProject",46,45,0,-0.104447736368418
"Cell1034","SeuratProject",36,35,0,-0.100708576765086
"Cell1035","SeuratProject",30,30,0,-0.0135648302487286
"Cell1036","SeuratProject",43,43,0,-0.0981113095577119
"Cell1037","SeuratProject",43,40,0,-0.0905215712775407
"Cell1038","SeuratProject",35,35,0,-0.0750453438428789
"Cell1039","SeuratProject",39,39,0,-0.106535913508881
"Cell1040","SeuratProject",39,37,0,-0.108202743211851
"Cell1041","SeuratProject",43,42,0,-0.125543566849907
"Cell1042","SeuratProject",41,40,0,-0.140315856156687
"Cell1043","SeuratProject",43,41,0,-0.120547462383493
"Cell1044","SeuratProject",40,40,0,-0.114802720065092
"Cell1045","SeuratProject",50,50,0,0.00581090831645836
"Cell1046","SeuratProject",36,36,0,-0.0862155507256251
"Cell1047","SeuratProject",41,40,0,-0.140315856156687
"Cell1048","SeuratProject",41,40,0,-0.140315856156687
"Cell1049","SeuratProject",30,29,0,0
"Cell1050","SeuratProject",43,42,0,-0.125543566849907
"Cell1051","SeuratProject",43,41,0,-0.120547462383493
"Cell1052","SeuratProject",41,38,0,-0.0812969822485509
"Cell1053","SeuratProject",47,46,0,-0.0721330105042981
"Cell1054","SeuratProject",48,47,0,-0.0546278183463105
"Cell1055","SeuratProject",33,32,0,-0.0601384707826172
"Cell1056","SeuratProject",34,30,0,0.000577035393884318
"Cell1057","SeuratProject",46,44,0,-0.0988379931844763
"Cell1058","SeuratProject",45,44,0,-0.106674781707554
"Cell1059","SeuratProject",35,35,0,-0.0750453438428789
"Cell1060","SeuratProject",38,38,0,-0.120792137682289
"Cell1061","SeuratProject",41,40,0,-0.140315856156687
"Cell1062","SeuratProject",37,37,0,-0.0922958951325496
"Cell1063","SeuratProject",40,40,0,-0.114802720065092
"Cell1064","SeuratProject",42,40,0,-0.116251208275036
"Cell1065","SeuratProject",37,37,0,-0.0922958951325496
"Cell1066","SeuratProject",29,29,0,0.0345500290821616
"Cell1067","SeuratProject",44,44,0,-0.0717491333856407
"Cell1068","SeuratProject",38,38,0,-0.120792137682289
"Cell1069","SeuratProject",36,35,0,-0.100708576765086
"Cell1070","SeuratProject",42,39,0,-0.0904322991265811
"Cell1071","SeuratProject",41,41,0,-0.102402206597157
"Cell1072","SeuratProject",37,34,0,-0.0539438229193374
"Cell1073","SeuratProject",44,42,0,-0.1108684007134
"Cell1074","SeuratProject",45,44,0,-0.106674781707554
"Cell1075","SeuratProject",35,34,0,-0.0935100874590804
"Cell1076","SeuratProject",38,36,0,-0.0974043618173572
"Cell1077","SeuratProject",43,42,0,-0.125543566849907
"Cell1078","SeuratProject",46,44,0,-0.0988379931844763
"Cell1079","SeuratProject",50,45,0,0.011423744442111
"Cell1080","SeuratProject",46,45,0,-0.104447736368418
"Cell1082","SeuratProject",39,39,0,-0.106535913508881
"Cell1083","SeuratProject",42,39,0,-0.0904322991265811
"Cell1084","SeuratProject",48,46,0,-0.0694425359921111
"Cell1085","SeuratProject",42,41,0,-0.132104934029768
"Cell1086","SeuratProject",44,44,0,-0.0717491333856407
"Cell1087","SeuratProject",40,38,0,-0.10362894103794
"Cell1088","SeuratProject",36,36,0,-0.0862155507256251
"Cell1089","SeuratProject",49,47,0,-0.0630020960796193
"Cell1090","SeuratProject",46,45,0,-0.104447736368418
"Cell1091","SeuratProject",35,35,0,-0.0750453438428789
"Cell1092","SeuratProject",46,44,0,-0.0988379931844763
"Cell1093","SeuratProject",38,37,0,-0.126165582837422
"Cell1094","SeuratProject",41,40,0,-0.140315856156687
"Cell1095","SeuratProject",38,36,0,-0.0974043618173572
"Cell1096","SeuratProject",48,47,0,-0.0546278183463105
"Cell1097","SeuratProject",43,42,0,-0.125543566849907
"Cell1098","SeuratProject",45,43,0,-0.1094791302964
"Cell1099","SeuratProject",35,34,0,-0.0935100874590804
"Cell1100","SeuratProject",40,40,0,-0.114802720065092
"Cell1101","SeuratProject",36,34,0,-0.083049093154336
"Cell1102","SeuratProject",44,43,0,-0.113107739462977
"Cell1103","SeuratProject",40,39,0,-0.119672188357454
"Cell1104","SeuratProject",50,49,0,-0.0185465981334861
"Cell1106","SeuratProject",30,29,0,0
"Cell1107","SeuratProject",41,39,0,-0.11922676566074
"Cell1108","SeuratProject",46,44,0,-0.0988379931844763
"Cell1109","SeuratProject",35,35,0,-0.0750453438428789
"Cell1110","SeuratProject",43,43,0,-0.0981113095577119
"Cell1111","SeuratProject",41,41,0,-0.102402206597157
"Cell1112","SeuratProject",37,37,0,-0.0922958951325496
"Cell1113","SeuratProject",37,35,0,-0.0848603016289688
"Cell1114","SeuratProject",38,37,0,-0.126165582837422
"Cell1115","SeuratProject",36,35,0,-0.100708576765086
"Cell1116","SeuratProject",44,41,0,-0.0864675835086444
"Cell1117","SeuratProject",50,47,0,-0.0219135541627762
"Cell1118","SeuratProject",43,40,0,-0.0905215712775407
"Cell1119","SeuratProject",41,40,0,-0.140315856156687
"Cell1120","SeuratProject",42,40,0,-0.116251208275036
"Cell1121","SeuratProject",40,40,0,-0.114802720065092
"Cell1122","SeuratProject",45,43,0,-0.1094791302964
"Cell1123","SeuratProject",40,40,0,-0.114802720065092
"Cell1124","SeuratProject",38,37,0,-0.126165582837422
"Cell1125","SeuratProject",39,38,0,-0.125911316796102
"Cell1126","SeuratProject",49,47,0,-0.0630020960796193
"Cell1127","SeuratProject",45,43,0,-0.1094791302964
"Cell1128","SeuratProject",34,33,0,-0.0674238122874688
"Cell1129","SeuratProject",46,44,0,-0.0988379931844763
"Cell1130","SeuratProject",41,41,0,-0.102402206597157
"Cell1131","SeuratProject",37,35,0,-0.0848603016289688
"Cell1132","SeuratProject",51,50,0,0.0050407571764014
"Cell1133","SeuratProject",41,40,0,-0.140315856156687
"Cell1134","SeuratProject",40,40,0,-0.114802720065092
"Cell1135","SeuratProject",48,45,0,-0.0676257493823741
"Cell1136","SeuratProject",53,49,0,0.0420987225899572
"Cell1137","SeuratProject",43,42,0,-0.125543566849907
"Cell1139","SeuratProject",32,31,0,-0.0437250879906633
"Cell1140","SeuratProject",51,50,0,0.0050407571764014
"Cell1141","SeuratProject",44,42,0,-0.1108684007134
"Cell1142","SeuratProject",38,37,0,-0.126165582837422
"Cell1143","SeuratProject",42,42,0,-0.0993157718875632
"Cell1144","SeuratProject",37,36,0,-0.108529277334392
"Cell1145","SeuratProject",45,42,0,-0.0879785258568143
"Cell1146","SeuratProject",42,40,0,-0.116251208275036
"Cell1147","SeuratProject",43,43,0,-0.0981113095577119
"Cell1148","SeuratProject",32,32,0,-0.0454481190212956
"Cell1149","SeuratProject",41,40,0,-0.140315856156687
"Cell1150","SeuratProject",38,37,0,-0.126165582837422
"Cell1151","SeuratProject",41,40,0,-0.140315856156687
"Cell1152","SeuratProject",31,31,0,-0.0437860536635473
"Cell1153","SeuratProject",34,34,0,-0.0622168716309411
"Cell1154","SeuratProject",46,46,0,-0.0682313220853901
"Cell1155","SeuratProject",45,43,0,-0.1094791302964
"Cell1156","SeuratProject",43,43,0,-0.0981113095577119
"Cell1157","SeuratProject",49,43,0,-0.00131015178962124
"Cell1158","SeuratProject",34,34,0,-0.0622168716309411
"Cell1159","SeuratProject",44,42,0,-0.1108684007134
"Cell1160","SeuratProject",44,43,0,-0.113107739462977
"Cell1161","SeuratProject",38,36,0,-0.0974043618173572
"Cell1162","SeuratProject",37,37,0,-0.0922958951325496
"Cell1164","SeuratProject",45,44,0,-0.106674781707554
"Cell1165","SeuratProject",37,37,0,-0.0922958951325496
"Cell1166","SeuratProject",38,37,0,-0.126165582837422
"Cell1167","SeuratProject",40,40,0,-0.114802720065092
"Cell1168","SeuratProject",31,31,0,-0.0437860536635473
"Cell1169","SeuratProject",40,37,0,-0.0752335669708093
"Cell1170","SeuratProject",43,40,0,-0.0905215712775407
"Cell1173","SeuratProject",42,41,0,-0.132104934029768
"Cell1174","SeuratProject",35,35,0,-0.0750453438428789
"Cell1175","SeuratProject",34,33,0,-0.0674238122874688
"Cell1176","SeuratProject",34,33,0,-0.0674238122874688
"Cell1177","SeuratProject",41,40,0,-0.140315856156687
"Cell1178","SeuratProject",38,36,0,-0.0974043618173572
"Cell1179","SeuratProject",38,37,0,-0.126165582837422
"Cell1181","SeuratProject",45,43,0,-0.1094791302964
"Cell1182","SeuratProject",50,49,0,-0.0185465981334861
"Cell1183","SeuratProject",40,40,0,-0.114802720065092
"Cell1184","SeuratProject",41,40,0,-0.140315856156687
"Cell1185","SeuratProject",48,47,0,-0.0546278183463105
"Cell1186","SeuratProject",45,45,0,-0.089304337797713
"Cell1187","SeuratProject",47,45,0,-0.0821044824376019
"Cell1188","SeuratProject",44,44,0,-0.0717491333856407
"Cell1189","SeuratProject",32,31,0,-0.0437250879906633
"Cell1190","SeuratProject",35,34,0,-0.0935100874590804
"Cell1191","SeuratProject",35,35,0,-0.0750453438428789
"Cell1192","SeuratProject",49,47,0,-0.0630020960796193
"Cell1195","SeuratProject",46,44,0,-0.0988379931844763
"Cell1196","SeuratProject",36,36,0,-0.0862155507256251
"Cell1197","SeuratProject",42,39,0,-0.0904322991265811
"Cell1198","SeuratProject",39,38,0,-0.125911316796102
"Cell1199","SeuratProject",39,38,0,-0.125911316796102
"Cell1200","SeuratProject",39,38,0,-0.125911316796102
"Cell1202","SeuratProject",37,37,0,-0.0922958951325496
"Cell1203","SeuratProject",30,29,0,0
"Cell1204","SeuratProject",36,36,0,-0.0862155507256251
"Cell1205","SeuratProject",40,39,0,-0.119672188357454
"Cell1206","SeuratProject",45,45,0,-0.089304337797713
"Cell1207","SeuratProject",37,37,0,-0.0922958951325496
"Cell1208","SeuratProject",47,47,0,-0.0403181036746018
"Cell1209","SeuratProject",41,38,0,-0.0812969822485509
"Cell1210","SeuratProject",39,38,0,-0.125911316796102
"Cell1211","SeuratProject",37,35,0,-0.0848603016289688
"Cell1212","SeuratProject",53,51,0,0.0369909880530175
"Cell1213","SeuratProject",42,41,0,-0.132104934029768
"Cell1214","SeuratProject",35,35,0,-0.0750453438428789
"Cell1215","SeuratProject",47,44,0,-0.0652923191498441
"Cell1216","SeuratProject",47,44,0,-0.0652923191498441
"Cell1217","SeuratProject",44,42,0,-0.1108684007134
"Cell1218","SeuratProject",41,40,0,-0.140315856156687
"Cell1219","SeuratProject",31,30,0,-0.0441057965385686
"Cell1220","SeuratProject",44,42,0,-0.1108684007134
"Cell1221","SeuratProject",32,32,0,-0.0454481190212956
"Cell1222","SeuratProject",31,31,0,-0.0437860536635473
"Cell1223","SeuratProject",52,50,0,0.0226004622639941
"Cell1224","SeuratProject",41,38,0,-0.0812969822485509
"Cell1225","SeuratProject",34,34,0,-0.0622168716309411
"Cell1226","SeuratProject",34,34,0,-0.0622168716309411
"Cell1227","SeuratProject",41,38,0,-0.0812969822485509
"Cell1228","SeuratProject",45,44,0,-0.106674781707554
"Cell1229","SeuratProject",39,36,0,-0.073145077870989
"Cell1230","SeuratProject",40,38,0,-0.10362894103794
"Cell1231","SeuratProject",47,44,0,-0.0652923191498441
"Cell1232","SeuratProject",51,51,0,0.0318573726211886
"Cell1233","SeuratProject",38,38,0,-0.120792137682289
"Cell1234","SeuratProject",33,33,0,-0.0529404493752068
"Cell1235","SeuratProject",36,33,0,-0.042519340089826
"Cell1236","SeuratProject",39,38,0,-0.125911316796102
"Cell1237","SeuratProject",33,31,0,-0.0241043576332021
"Cell1238","SeuratProject",41,40,0,-0.140315856156687
"Cell1239","SeuratProject",37,35,0,-0.0848603016289688
"Cell1240","SeuratProject",39,39,0,-0.106535913508881
"Cell1241","SeuratProject",39,39,0,-0.106535913508881
"Cell1242","SeuratProject",43,43,0,-0.0981113095577119
"Cell1243","SeuratProject",44,41,0,-0.0864675835086444
"Cell1244","SeuratProject",38,38,0,-0.120792137682289
"Cell1245","SeuratProject",35,35,0,-0.0750453438428789
"Cell1246","SeuratProject",39,37,0,-0.108202743211851
"Cell1247","SeuratProject",42,39,0,-0.0904322991265811
"Cell1248","SeuratProject",43,41,0,-0.120547462383493
"Cell1249","SeuratProject",43,41,0,-0.120547462383493
"Cell1250","SeuratProject",43,41,0,-0.120547462383493
"Cell1251","SeuratProject",45,45,0,-0.089304337797713
"Cell1252","SeuratProject",33,33,0,-0.0529404493752068
"Cell1253","SeuratProject",33,33,0,-0.0529404493752068
"Cell1255","SeuratProject",36,35,0,-0.100708576765086
"Cell1256","SeuratProject",36,34,0,-0.083049093154336
"Cell1257","SeuratProject",31,30,0,-0.0441057965385686
"Cell1258","SeuratProject",41,40,0,-0.140315856156687
"Cell1259","SeuratProject",49,49,0,-0.00690570705932847
"Cell1260","SeuratProject",44,43,0,-0.113107739462977
"Cell1261","SeuratProject",51,51,0,0.0318573726211886
"Cell1262","SeuratProject",40,38,0,-0.10362894103794
"Cell1263","SeuratProject",32,30,0,-0.0274968312766237
"Cell1264","SeuratProject",39,38,0,-0.125911316796102
"Cell1265","SeuratProject",35,35,0,-0.0750453438428789
"Cell1266","SeuratProject",43,40,0,-0.0905215712775407
"Cell1267","SeuratProject",43,43,0,-0.0981113095577119
"Cell1268","SeuratProject",39,37,0,-0.108202743211851
"Cell1269","SeuratProject",50,50,0,0.00581090831645836
"Cell1270","SeuratProject",34,34,0,-0.0622168716309411
"Cell1271","SeuratProject",40,38,0,-0.10362894103794
"Cell1272","SeuratProject",41,41,0,-0.102402206597157
"Cell1274","SeuratProject",38,38,0,-0.120792137682289
"Cell1275","SeuratProject",36,36,0,-0.0862155507256251
"Cell1276","SeuratProject",36,34,0,-0.083049093154336
"Cell1277","SeuratProject",34,33,0,-0.0674238122874688
"Cell1278","SeuratProject",49,48,0,-0.0473076105761039
"Cell1279","SeuratProject",43,43,0,-0.0981113095577119
"Cell1280","SeuratProject",36,34,0,-0.083049093154336
"Cell1281","SeuratProject",43,43,0,-0.0981113095577119
"Cell1282","SeuratProject",37,33,0,-0.024258494805704
"Cell1283","SeuratProject",46,43,0,-0.0807568128903705
"Cell1284","SeuratProject",37,32,0,0.0086841635580408
"Cell1285","SeuratProject",39,38,0,-0.125911316796102
"Cell1286","SeuratProject",37,37,0,-0.0922958951325496
"Cell1287","SeuratProject",48,46,0,-0.0694425359921111
"Cell1288","SeuratProject",53,50,0,0.0271321817211436
"Cell1290","SeuratProject",50,49,0,-0.0185465981334861
"Cell1291","SeuratProject",45,44,0,-0.106674781707554
"Cell1292","SeuratProject",48,47,0,-0.0546278183463105
"Cell1293","SeuratProject",40,37,0,-0.0752335669708093
"Cell1294","SeuratProject",39,37,0,-0.108202743211851
"Cell1295","SeuratProject",46,45,0,-0.104447736368418
"Cell1296","SeuratProject",47,46,0,-0.0721330105042981
"Cell1298","SeuratProject",40,40,0,-0.114802720065092
"Cell1299","SeuratProject",42,41,0,-0.132104934029768
"Cell1300","SeuratProject",41,38,0,-0.0812969822485509
"Cell1301","SeuratProject",49,49,0,-0.00690570705932847
"Cell1302","SeuratProject",46,44,0,-0.0988379931844763
"Cell1304","SeuratProject",41,39,0,-0.11922676566074
"Cell1305","SeuratProject",45,44,0,-0.106674781707554
"Cell1306","SeuratProject",48,48,0,-0.0267241480606816
"Cell1307","SeuratProject",41,39,0,-0.11922676566074
"Cell1308","SeuratProject",43,42,0,-0.125543566849907
"Cell1309","SeuratProject",46,45,0,-0.104447736368418
"Cell1310","SeuratProject",41,41,0,-0.102402206597157
"Cell1311","SeuratProject",45,43,0,-0.1094791302964
"Cell1312","SeuratProject",50,49,0,-0.0185465981334861
"Cell1313","SeuratProject",33,33,0,-0.0529404493752068
"Cell1314","SeuratProject",34,33,0,-0.0674238122874688
"Cell1315","SeuratProject",48,47,0,-0.0546278183463105
"Cell1316","SeuratProject",42,41,0,-0.132104934029768
"Cell1317","SeuratProject",45,45,0,-0.089304337797713
"Cell1318","SeuratProject",36,36,0,-0.0862155507256251
"Cell1319","SeuratProject",35,34,0,-0.0935100874590804
"Cell1320","SeuratProject",39,38,0,-0.125911316796102
"Cell1321","SeuratProject",40,38,0,-0.10362894103794
"Cell1322","SeuratProject",52,50,0,0.0226004622639941
"Cell1323","SeuratProject",39,38,0,-0.125911316796102
"Cell1324","SeuratProject",41,40,0,-0.140315856156687
"Cell1325","SeuratProject",44,44,0,-0.0717491333856407
"Cell1326","SeuratProject",38,36,0,-0.0974043618173572
"Cell1327","SeuratProject",39,38,0,-0.125911316796102
"Cell1328","SeuratProject",45,45,0,-0.089304337797713
"Cell1329","SeuratProject",42,41,0,-0.132104934029768
"Cell1330","SeuratProject",35,35,0,-0.0750453438428789
"Cell1331","SeuratProject",45,43,0,-0.1094791302964
"Cell1332","SeuratProject",43,42,0,-0.125543566849907
"Cell1333","SeuratProject",45,44,0,-0.106674781707554
"Cell1334","SeuratProject",51,49,0,-0.00111293731515005
"Cell1335","SeuratProject",36,36,0,-0.0862155507256251
"Cell1336","SeuratProject",46,45,0,-0.104447736368418
"Cell1337","SeuratProject",37,35,0,-0.0848603016289688
"Cell1338","SeuratProject",38,37,0,-0.126165582837422
"Cell1339","SeuratProject",46,45,0,-0.104447736368418
"Cell1340","SeuratProject",47,47,0,-0.0403181036746018
"Cell1341","SeuratProject",38,37,0,-0.126165582837422
"Cell1342","SeuratProject",43,43,0,-0.0981113095577119
"Cell1343","SeuratProject",32,32,0,-0.0454481190212956
"Cell1344","SeuratProject",41,40,0,-0.140315856156687
"Cell1345","SeuratProject",36,35,0,-0.100708576765086
"Cell1346","SeuratProject",43,43,0,-0.0981113095577119
"Cell1347","SeuratProject",38,38,0,-0.120792137682289
"Cell1348","SeuratProject",46,46,0,-0.0682313220853901
"Cell1349","SeuratProject",41,39,0,-0.11922676566074
"Cell1350","SeuratProject",32,31,0,-0.0437250879906633
"Cell1351","SeuratProject",40,38,0,-0.10362894103794
"Cell1352","SeuratProject",46,45,0,-0.104447736368418
"Cell1353","SeuratProject",38,37,0,-0.126165582837422
"Cell1354","SeuratProject",36,33,0,-0.042519340089826
"Cell1355","SeuratProject",46,43,0,-0.0807568128903705
"Cell1356","SeuratProject",41,40,0,-0.140315856156687
"Cell1357","SeuratProject",37,36,0,-0.108529277334392
"Cell1358","SeuratProject",31,31,0,-0.0437860536635473
"Cell1359","SeuratProject",41,40,0,-0.140315856156687
"Cell1360","SeuratProject",31,30,0,-0.0441057965385686
"Cell1361","SeuratProject",50,49,0,-0.0185465981334861
"Cell1362","SeuratProject",42,40,0,-0.116251208275036
"Cell1363","SeuratProject",34,33,0,-0.0674238122874688
"Cell1364","SeuratProject",38,37,0,-0.126165582837422
"Cell1365","SeuratProject",47,46,0,-0.0721330105042981
"Cell1366","SeuratProject",48,48,0,-0.0267241480606816
"Cell1367","SeuratProject",42,41,0,-0.132104934029768
"Cell1368","SeuratProject",37,36,0,-0.108529277334392
"Cell1369","SeuratProject",48,45,0,-0.0676257493823741
"Cell1370","SeuratProject",34,34,0,-0.0622168716309411
"Cell1371","SeuratProject",30,30,0,-0.0135648302487286
"Cell1372","SeuratProject",33,31,0,-0.0241043576332021
"Cell1374","SeuratProject",44,44,0,-0.0717491333856407
"Cell1375","SeuratProject",38,37,0,-0.126165582837422
"Cell1376","SeuratProject",45,44,0,-0.106674781707554
"Cell1377","SeuratProject",41,40,0,-0.140315856156687
"Cell1378","SeuratProject",40,39,0,-0.119672188357454
"Cell1379","SeuratProject",41,40,0,-0.140315856156687
"Cell1380","SeuratProject",40,40,0,-0.114802720065092
"Cell1381","SeuratProject",44,44,0,-0.0717491333856407
"Cell1383","SeuratProject",45,43,0,-0.1094791302964
"Cell1386","SeuratProject",32,32,0,-0.0454481190212956
"Cell1387","SeuratProject",53,51,0,0.0369909880530175
"Cell1388","SeuratProject",46,44,0,-0.0988379931844763
"Cell1389","SeuratProject",50,49,0,-0.0185465981334861
"Cell1390","SeuratProject",37,37,0,-0.0922958951325496
"Cell1391","SeuratProject",41,39,0,-0.11922676566074
"Cell1392","SeuratProject",41,39,0,-0.11922676566074
"Cell1393","SeuratProject",48,47,0,-0.0546278183463105
"Cell1394","SeuratProject",36,35,0,-0.100708576765086
"Cell1395","SeuratProject",34,32,0,-0.0423829633623423
"Cell1396","SeuratProject",44,42,0,-0.1108684007134
"Cell1397","SeuratProject",44,43,0,-0.113107739462977
"Cell1398","SeuratProject",50,45,0,0.011423744442111
"Cell1399","SeuratProject",36,36,0,-0.0862155507256251
"Cell1400","SeuratProject",31,31,0,-0.0437860536635473
"Cell1401","SeuratProject",52,51,0,0.0335827052682939
"Cell1402","SeuratProject",43,42,0,-0.125543566849907
"Cell1403","SeuratProject",45,42,0,-0.0879785258568143
"Cell1404","SeuratProject",32,31,0,-0.0437250879906633
"Cell1405","SeuratProject",29,29,0,0.0345500290821616
"Cell1406","SeuratProject",46,46,0,-0.0682313220853901
"Cell1407","SeuratProject",42,39,0,-0.0904322991265811
"Cell1408","SeuratProject",48,48,0,-0.0267241480606816
"Cell1409","SeuratProject",45,44,0,-0.106674781707554
"Cell1410","SeuratProject",34,32,0,-0.0423829633623423
"Cell1411","SeuratProject",36,36,0,-0.0862155507256251
"Cell1412","SeuratProject",37,37,0,-0.0922958951325496
"Cell1413","SeuratProject",45,44,0,-0.106674781707554
"Cell1414","SeuratProject",47,45,0,-0.0821044824376019
"Cell1415","SeuratProject",36,36,0,-0.0862155507256251
"Cell1416","SeuratProject",53,51,0,0.0369909880530175
"Cell1417","SeuratProject",49,48,0,-0.0473076105761039
"Cell1418","SeuratProject",42,41,0,-0.132104934029768
"Cell1420","SeuratProject",39,38,0,-0.125911316796102
"Cell1421","SeuratProject",40,40,0,-0.114802720065092
"Cell1422","SeuratProject",44,44,0,-0.0717491333856407
"Cell1423","SeuratProject",41,38,0,-0.0812969822485509
"Cell1424","SeuratProject",38,38,0,-0.120792137682289
"Cell1425","SeuratProject",31,31,0,-0.0437860536635473
"Cell1426","SeuratProject",40,39,0,-0.119672188357454
"Cell1427","SeuratProject",37,37,0,-0.0922958951325496
"Cell1428","SeuratProject",47,46,0,-0.0721330105042981
"Cell1429","SeuratProject",44,39,0,-0.0447171206868051
"Cell1430","SeuratProject",34,32,0,-0.0423829633623423
"Cell1431","SeuratProject",31,31,0,-0.0437860536635473
"Cell1432","SeuratProject",46,44,0,-0.0988379931844763
"Cell1433","SeuratProject",44,43,0,-0.113107739462977
"Cell1434","SeuratProject",38,38,0,-0.120792137682289
"Cell1435","SeuratProject",36,36,0,-0.0862155507256251
"Cell1436","SeuratProject",39,39,0,-0.106535913508881
"Cell1437","SeuratProject",40,40,0,-0.114802720065092
"Cell1438","SeuratProject",33,33,0,-0.0529404493752068
"Cell1439","SeuratProject",40,39,0,-0.119672188357454
"Cell1440","SeuratProject",46,43,0,-0.0807568128903705
"Cell1441","SeuratProject",36,36,0,-0.0862155507256251
"Cell1442","SeuratProject",32,32,0,-0.0454481190212956
"Cell1443","SeuratProject",39,37,0,-0.108202743211851
"Cell1444","SeuratProject",45,45,0,-0.089304337797713
"Cell1445","SeuratProject",43,41,0,-0.120547462383493
"Cell1447","SeuratProject",41,38,0,-0.0812969822485509
"Cell1448","SeuratProject",32,32,0,-0.0454481190212956
"Cell1449","SeuratProject",31,30,0,-0.0441057965385686
"Cell1451","SeuratProject",40,39,0,-0.119672188357454
"Cell1452","SeuratProject",44,42,0,-0.1108684007134
"Cell1453","SeuratProject",42,41,0,-0.132104934029768
"Cell1454","SeuratProject",47,47,0,-0.0403181036746018
"Cell1455","SeuratProject",47,43,0,-0.0456302531635797
"Cell1456","SeuratProject",48,46,0,-0.0694425359921111
"Cell1457","SeuratProject",36,34,0,-0.083049093154336
"Cell1458","SeuratProject",39,37,0,-0.108202743211851
"Cell1459","SeuratProject",36,36,0,-0.0862155507256251
"Cell1460","SeuratProject",35,35,0,-0.0750453438428789
"Cell1461","SeuratProject",47,45,0,-0.0821044824376019
"Cell1462","SeuratProject",45,45,0,-0.089304337797713
"Cell1463","SeuratProject",44,38,0,-0.0186856574122016
"Cell1464","SeuratProject",44,43,0,-0.113107739462977
"Cell1465","SeuratProject",42,42,0,-0.0993157718875632
"Cell1466","SeuratProject",40,39,0,-0.119672188357454
"Cell1468","SeuratProject",45,43,0,-0.1094791302964
"Cell1469","SeuratProject",31,29,0,-0.00139861083737891
"Cell1470","SeuratProject",35,35,0,-0.0750453438428789
"Cell1471","SeuratProject",43,42,0,-0.125543566849907
"Cell1472","SeuratProject",35,35,0,-0.0750453438428789
"Cell1473","SeuratProject",41,41,0,-0.102402206597157
"Cell1474","SeuratProject",52,47,0,0.0401624962726256
"Cell1475","SeuratProject",37,35,0,-0.0848603016289688
"Cell1476","SeuratProject",37,36,0,-0.108529277334392
"Cell1477","SeuratProject",42,41,0,-0.132104934029768
"Cell1478","SeuratProject",46,45,0,-0.104447736368418
"Cell1479","SeuratProject",35,34,0,-0.0935100874590804
"Cell1480","SeuratProject",50,49,0,-0.0185465981334861
"Cell1481","SeuratProject",39,37,0,-0.108202743211851
"Cell1482","SeuratProject",35,34,0,-0.0935100874590804
"Cell1483","SeuratProject",42,42,0,-0.0993157718875632
"Cell1484","SeuratProject",51,50,0,0.0050407571764014
"Cell1485","SeuratProject",40,39,0,-0.119672188357454
"Cell1486","SeuratProject",30,30,0,-0.0135648302487286
"Cell1487","SeuratProject",32,31,0,-0.0437250879906633
"Cell1488","SeuratProject",45,42,0,-0.0879785258568143
"Cell1489","SeuratProject",47,46,0,-0.0721330105042981
"Cell1490","SeuratProject",44,43,0,-0.113107739462977
"Cell1491","SeuratProject",31,30,0,-0.0441057965385686
"Cell1492","SeuratProject",46,43,0,-0.0807568128903705
"Cell1493","SeuratProject",41,38,0,-0.0812969822485509
"Cell1494","SeuratProject",42,42,0,-0.0993157718875632
"Cell1495","SeuratProject",48,45,0,-0.0676257493823741
"Cell1496","SeuratProject",40,38,0,-0.10362894103794
"Cell1497","SeuratProject",41,40,0,-0.140315856156687
"Cell1498","SeuratProject",37,36,0,-0.108529277334392
"Cell1499","SeuratProject",39,37,0,-0.108202743211851
"Cell1500","SeuratProject",44,43,0,-0.113107739462977
"Cell1501","SeuratProject",38,36,0,-0.0974043618173572
"Cell1502","SeuratProject",38,38,0,-0.120792137682289
"Cell1503","SeuratProject",38,36,0,-0.0974043618173572
"Cell1504","SeuratProject",48,47,0,-0.0546278183463105
"Cell1505","SeuratProject",49,47,0,-0.0630020960796193
"Cell1506","SeuratProject",35,35,0,-0.0750453438428789
"Cell1507","SeuratProject",31,29,0,-0.00139861083737891
"Cell1508","SeuratProject",30,29,0,0
"Cell1509","SeuratProject",36,35,0,-0.100708576765086
"Cell1512","SeuratProject",47,46,0,-0.0721330105042981
"Cell1513","SeuratProject",47,44,0,-0.0652923191498441
"Cell1514","SeuratProject",42,42,0,-0.0993157718875632
"Cell1515","SeuratProject",37,35,0,-0.0848603016289688
"Cell1517","SeuratProject",52,51,0,0.0335827052682939
"Cell1518","SeuratProject",40,39,0,-0.119672188357454
"Cell1519","SeuratProject",43,42,0,-0.125543566849907
"Cell1521","SeuratProject",46,44,0,-0.0988379931844763
"Cell1522","SeuratProject",44,44,0,-0.0717491333856407
"Cell1523","SeuratProject",45,44,0,-0.106674781707554
"Cell1524","SeuratProject",38,37,0,-0.126165582837422
"Cell1525","SeuratProject",45,43,0,-0.1094791302964
"Cell1526","SeuratProject",36,35,0,-0.100708576765086
"Cell1527","SeuratProject",36,35,0,-0.100708576765086
"Cell1528","SeuratProject",39,38,0,-0.125911316796102
